Studio,Movie,Year,ProtagonistName,ProtagonistGender,Theme,VillainName,VillainGender,VillianFate,RTCritics,RTAudience,RTKids,Femalelead
Disney,Snow White and the Seven Dwarves,1937,Snow White & the Dwarves,Both,Hero vs. Villain,Queen Grimhilde,Female,Death,98,77,95,yes
Disney,Pinocchio,1940,Pinocchio,Male,Self Growth,,,,100,72,95,no
Disney,Dumbo,1941,Dumbo,Male,Hero vs. Society,,,,89,70,96,no
Disney,Bambi,1942,Bambi,Male,Hero vs. Society,,,,85,72,71,no
Disney,Cinderella,1950,Cinderella,Female,Hero vs. Villain,Lady Tremaine,Female,Thwarted,97,80,99,yes
Disney,Alice in Wonderland,1951,Alice,Female,Hero vs. Society,,,,77,78,76,yes
Disney,Peter Pan,1952,Peter Pan,Male,Hero vs. Villain,Captain Hook,Male,Banishment,69,80,82,no
Disney,Lady and the Tramp,1955,Lady & Tramp,Both,Hero vs. Villain,Aunt Sarah/Si and Am,Female,Thwarted,89,80,91,yes
Disney,Sleeping Beauty,1959,Princess Aurora,Female,Hero vs. Villain,Maleficent,Female,Death,91,80,79,yes
Disney,One hundred and One Dalmatians,1961,Pongo & Perdita,Both,Hero vs. Villain,Cruella de Vil,Female,Imprisonment,97,75,80,yes
Disney,"Sword in the Stone, The",1963,Arthur,Male,Hero vs. Society,,,,71,74,36,no
Disney,"Jungle Book, The",1967,Mowgli,Male,Hero vs. Villain,Shere Khan,Male,Banishment,81,82,93,no
Disney,"Aristocats, The",1970,Duchess,Female,Hero vs. Villain,Edgar,Male,Banishment,66,70,91,yes
Disney,Robin Hood,1973,Robin Hood,Male,Hero vs. Villain,Prince John,Male,Imprisonment,52,82,53,no
Disney,"Rescuers, The",1977,Miss Bianca & Bernard,Both,Hero vs. Villain,Madame Medusa,Female,Death,90,68,58,yes
Disney,"Many Adventures of Winnie the Pooh, The",1977,Winnie,Male,Self Growth,,,,77,88,97,no
Disney,"Fox and the Hound, The",1981,Tod,Male,Hero vs. Villain,Amos Slade,Male,Thwarted,65,78,76,no
Disney,Black Cauldron The,1985,Dallben,Male,Hero vs. Villain,The Horned King,Male,Death,55,48,84,no
Disney,"Great Mouse Detective, The",1986,Basil,Male,Hero vs. Villain,Professor Ratigan,Male,Death,59,79,79,no
Disney,Oliver & Company,1988,Oliver,Male,Hero vs. Villain,Bill Sykes,Male,Death,43,63,77,no
Disney,"Little Mermaid, The",1989,Ariel,Female,Hero vs. Villain,Ursula,Female,Death,92,88,79,yes
Disney,"Rescuers Down Under, The",1990,Bernard & Miss Bianca,Both,Hero vs. Villain,McLeach,Male,Death,68,68,87,yes
