memorycondition,Memory,ItemsCorRemembered,gender,age,spanish,race
related,"sweet
treat
candy
confetti
party
",3,2,18,1,4
unrelated,"carrot 
disaster 
",2,2,19,1,6
related,"sugar
candy 
caramel
 frosting 
chocolat e
sugar ",5,2,19,1,
mixed,"centipede
trail
20
3052
200",4,2,19,1,1
unrelated,Car,0,2,19,1,1
mixed,"265
sweet
200
trail
8
centipede",6,4,19,1,1
unrelated,"candy 
sweet
silver
carrot
trail 
freezing 
",6,2,20,1,2
related,"chocolate
sugar
confection
sweet
Candy
Cake",5,2,20,1,6
related,"sweet
caramel
pastry
sugar
confection
treat
",6,2,20,1,6
unrelated,"pastry, children, sweet, caramel ",4,2,20,1,2
unrelated,"Centipede
Disaster
Freezing
Silver
Trail
Children
Caramel
",6,1,20,1,1
related,"Dessert 
Sweet
Treat
Candy
Chocola",5,2,20,1,1
related,"Desert
Frosting
Carmel
Chocolate
",4,2,20,1,1
unrelated,"centipede
freezing
pastry

",3,2,20,1,6
related,"sweets
confection
candy
chocolate
",4,2,20,1,1
unrelated,"caramel
centipede
carrot
",3,2,20,1,1
related,treat dessert candy sweet 00 confection sugar ,6,2,20,1,4
mixed,"00 
37
",0,1,20,2,1
unrelated,"caramel 
sweet
salt
destory
00
",2,2,20,2,6
unrelated,"sweet, caramel, disaster, centipede",4,3,20,2,1
related,"succeed in class, office hours, caramel, chocolate, homework assignments",2,2,20,2,1
unrelated,"Carrot, Silver",2,1,20,2,1
mixed,"265, 200, Silver, 35, Centipede",4,1,20,2,1
mixed,"365,10,1, 0024
",1,2,20,2,
mixed,"37, 8, silver, centipede, trail
",5,2,20,2,1
unrelated,"Silver, Carrot",2,1,21,2,1
related,"chocolate, pastery, caramel, desert, sweet",5,2,21,2,6
related,"confection, treat, chocolate, sweet, sugar, frosin",6,2,21,2,1
mixed,"24, 3,000, silver",2,2,21,2,6
related,"confection, pastry, sweet, candy, frosting, sugar, des",6,2,21,2,1
related,"sugar, confection, sweet,dessert
",4,2,21,2,1
mixed,"00, 24, 265, silver, 3,025 , ",3,3,21,2,1
mixed,"00, 3,052, 8, 200, centipede,",4,1,22,2,1
related,"sugar, Sweet, Candy, Treat, Chocolate 
",5,3,22,2,1
related,"Candy, Treat, frosting, Dessert, sugar, confections, pastry",7,2,24,2,1
related,"Candy, Sugar, Confection,Chocolate,Caramel
",5,2,35,2,1
