ResponseID,GQ_1,GW_2,GQ_3,GQ_4,GQ_5,SCS_1,SCS_2,SCS_3,SCS_4,SCS_5,SCS_6,SCS_7,SCS_8,SCS_9,SCS_10,SCS_11,gender,age,race
R_03BbbBP3hZVQ,1,1,1,1,1,3,2,7,7,1,3,7,2,7,7,1,2,20,5
R_sBUGSEqxLULqF,1,6,2,5,2,3,6,5,6,5,3,5,6,7,5,1,2,20,4
R_sB2HQEHzsI,1,3,1,2,1,5,6,6,5,6,6,5,6,5,5,3,2,20,5
R_sN57kcmL4OZM,1,6,1,3,2,2,5,2,6,5,2,4,4,7,6,3,2,20,4
R_sx24vGspVOEm0,1,6,2,2,1,3,4,6,6,3,6,3,5,6,6,3,2,20,4
R_sFRGH7IlLiN9,1,5,4,7,1,6,5,1,5,5,5,6,6,3,5,6,2,20,4
R_sFf6CH9sI8V,1,1,4,5,1,4,5,5,5,5,5,2,4,7,7,3,2,21,4
R_sgSccUr9UNBE,1,1,2,4,2,4,6,3,5,5,5,5,3,5,6,5,2,22,4
R_sirfvr6phLZsK,1,1,1,4,1,2,5,6,6,4,2,4,4,6,5,2,3,22,6
R_sKl666uXFz,1,3,2,1,1,5,4,5,7,4,4,5,3,5,4,3,3,23,5
R_sKNkLfiNlnCv,2,3,3,5,2,5,7,2,3,7,5,5,3,5,2,5,2,19,4
R_sKr6Pr3l9C,2,1,3,5,2,6,6,3,4,6,4,2,6,5,4,5,2,20,4
R_sLGe6skg2ePOL,2,6,7,4,3,6,7,2,2,7,6,7,2,1,2,6,2,20,4
R_sLIpsVQxOQU,2,3,1,3,1,4,6,7,5,7,4,5,6,6,5,3,2,20,5
R_smCNenlX2pC2g,2,5,3,5,3,5,6,2,4,6,5,5,7,4,5,5,2,20,5
R_sms0ssHsosO,2,3,5,2,6,6,7,1,2,7,5,7,4,2,2,5,2,20,6
R_sNesiGHPMMSXM,2,6,5,1,2,3,5,5,3,5,3,5,6,6,3,5,2,20,5
R_sNfSspoxIozV,2,4,5,3,2,6,6,5,5,6,5,4,4,5,3,5,2,20,3
R_snVoXH7f5sxOI,2,4,4,2,5,2,3,6,5,3,4,4,7,5,4,4,1,21,1
R_souk8l2sSr9,2,5,5,6,3,4,5,2,5,5,3,4,3,4,3,2,2,21,4
R_2siBohSXhFRN,2,2,3,3,2,2,6,6,5,6,3,3,4,6,6,2,3,21,6
