ResponseId,neuroticism_1,neuroticism_2,neuroticism_3,neuroticism_4,neuroticism_5,neuroticism_6,neuroticism_7,neuroticism_8,SWLS_1,SWLS_2,SWLS_3,SWLS_4,SWLS_5,GBS_1,GBS_2,GBS_3,GBS_4,GBS_5,GBS_6,GBS_7,GBS_8,GBS_9,GBS_10,GBS_11,GBS_12,RSE_1,RSE_2,RSE_3,RSE_4,RSE_5,RSE_6,RSE_7,RSE_8,RSE_9,RSE_10,gender,age,race,race_7_TEXT
R_10xbreg3Uc76GqV,4,2,4,5,2,4,2,5,4,5,5,4,1,4,3,5,4,4,2,7,4,5,6,4,1,3,5,3,4,2,3,2,4,3,3,2,20,6,
R_1BSgWrcoVYAQ6Mr,5,2,5,5,1,5,2,5,1,3,3,2,1,2,5,6,2,3,1,7,5,7,7,6,1,2,1,5,4,5,5,1,4,5,5,1,21,7,White & Hispanic 
R_1lAeqjh8Y6SCBcK,4,5,1,5,5,3,5,4,6,6,6,6,5,7,7,7,7,7,1,1,1,1,1,1,1,4,5,1,5,5,5,5,4,1,1,1,21,1,
R_1MLsgFh07tEE93L,4,4,4,4,3,4,4,4,2,2,2,2,1,3,4,6,4,5,3,5,2,4,4,5,6,5,4,3,5,4,3,4,5,3,1,2,20,5,
R_1MMXNB82nOyhwUb,1,4,2,3,4,2,3,3,4,4,5,4,4,6,6,6,6,6,5,2,1,2,1,2,1,4,4,1,4,3,5,3,2,1,1,2,22,4,
R_1opDRT2vpkT4UqR,3,2,2,4,4,3,2,4,2,3,4,2,2,6,6,6,5,6,6,2,2,2,3,2,2,4,4,2,4,3,4,4,2,4,2,2,20,4,
R_1PUgd1KFlR4FXZT,4,4,4,5,3,4,3,4,2,2,2,2,1,5,7,6,5,5,6,2,4,2,3,1,2,4,5,2,4,3,3,2,4,2,4,2,20,4,
R_1qe0EzSgPXba5X4,3,4,4,4,4,4,4,4,5,6,6,5,5,5,6,6,5,6,6,4,4,3,4,3,3,4,4,3,4,2,4,3,3,2,4,1,20,5,
R_1rjnjvvZCl4CTVK,3,3,5,5,2,3,4,3,3,2,6,5,2,5,5,4,6,6,7,3,4,1,2,7,2,3,5,4,3,3,3,2,3,4,3,2,20,4,
R_25M9zVV3WP9Axmy,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,1,20,4,
